2026-06-02 23:11:32 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 23:11:32 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 23:11:32 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 23:11:32 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 23:11:32 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 23:11:32 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Produced 5 chunk(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 23:11:32 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Docling produced 1442 chars of markdown for 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Produced 6 chunk(s) from 'sample_with_tables.md'
2026-06-02 23:11:32 | INFO     | services.docling | Parsing 'sample_with_tables.md' with Docling
2026-06-02 23:11:32 | INFO     | services.docling | Extracted 2 table(s) from 'sample_with_tables.md'
